巴菲特助力比亚迪王传福登顶
　　本报讯(记者贾中山)今天上午，胡润发布最新的百富榜单，比亚迪的王传福和玖龙纸业的张茵家族位列前两名。由于被捕后财富减少200亿元，黄光裕在榜单上的排位由去年的第一位，下跌到现在的第17位。
　　巴菲特助力王传福登顶
　　王传福以财富350亿元成为2009年中国首富，其财富较去年增加了290亿元，排名从去年的103位上升到今年的第1位。比亚迪2002年在香港主板上市，43岁的王传福拥有27.83%的股份。2008年，巴菲特宣布将以18亿港元认购比亚迪10%的股份。比亚迪是新一代“绿色汽车”的领导者，正好顺应了“科技”、“环保”、“创新”、“新能源”全球之势。胡润研究院首席调研员胡润表示：“王传福能成为今年的中国首富取决于三个因素：中国汽车产业30%的增长速度，巴菲特入股的巨大影响力。”
　　百亿富豪数量猛增
　　在过去70年中，西方国家面临了巨大的财富流失。在国际金融危机的背景下，中国富豪们的财富却仍在不断增长。《2009海南清水湾胡润百富榜》上榜1000位富豪的平均财富增为38.8亿元，增长了41.2%。另外，65位上榜企业家在国际金融危机下财富突破100亿，五年前只有1位。1000位上榜企业家财富过10亿，五年前只有100位。中国百亿富豪人数今年上升至65位，去年为50位，2003年一位也没有。胡润表示：“我们大可以将这一数字翻倍到130位，因为还有很多百亿富豪们将大量财富放在公众视线、房地产、证券和投资市场之外。”胡润补充说：“中国财富正在飞速增长，过去五年，财富在10亿元以上的富豪人数增加了十倍，2004年有100位，今年有1000位！”
　　黄光裕排位下跌
　　黄光裕是2008年的全国首富，从去年12月份被捕以来，其财富减少了200亿元，但40岁的黄光裕今年仍以财富230亿元名列第17位，因为他拥有国美电器34%的股权和鹏润地产。其竞争对手苏宁电器的张近东以财富280亿元首次超过他，排名第十。
　　财富缩水导致落榜前十位的富豪还有很多。彭小峰、施正荣是去年进入前十名的两位绿色科技大亨，今年都落榜前十。荣智健算得上国际金融危机下最大的受害者，排名第37位。另外，由于受伤无缘比赛，姚明今年落榜榜单，而去年姚明排位在榜单最后一位。
　　富豪身家胡润也算不清
　　虽然已经对财富进行了多年的研究和排位，但是胡润也有自己的遗憾，因为有些富豪的身家至今没有算清楚。胡润说，有些企业家将企业做到了很大，但因为复杂的股份结构而未能上榜。这些富豪包括海尔的张瑞敏、联想控股的柳传志、平安保险的马明哲、华西村的吴仁贵、蒙牛的牛根生，还有新闻集团主席默多克的华裔妻子邓文迪等。 J122
　　前十位富豪
　　排名 财富(亿元) 姓名 年龄
　　1* 350 王传福 43
　　2* 330 张茵家族 52
　　3 320 许荣茂家族 59
　　4 310 杨惠妍家族 28
　　5* 300 黄伟、李萍 50
　　5 300 刘永行家族 61
　　5* 300 卢志强 58
　　5 300 朱孟依家族 50
　　9* 290 王健林 55
　　10* 280 刘忠田家族 45
　　10* 280 严彬 55
　　10 280 张近东 46

