个股板块轮动 大盘蓄势冲关

　　□本报记者 贺辉红
　　本周市场继续震荡走高，周五上证指数一度逼近前期高点，深成指甚至创出本轮新高，一时间A股大有蓄势冲关的迹象。从板块来看，从本周初段的贵金属股到中段的银行、有色金属、新能源以及创投概念，加速轮动，2402点高地或可跨过。
　　上证指数本周涨幅小于上周，但在2300-2400点区间，市场连续放出巨量，从而令两市本周的成交量大大超过了上周。这也意味着，在2300-2400点一线积累的套牢盘已在一定程度上得到了消化。虽然周五市场一度跳水，但从盘面上看，赚钱效应依然存在，特别是新能源板块和创投板块，个股表现均十分突出。全周上证指数最终收于2374.44点，涨幅4.09%；两市共有1219只个股上涨，仅300余只个股下跌。
　　板块之间的轮动是本周市场的一大特点。本周初段，带“金”的股票都大幅上涨，如鲁润股份、风帆股份、豫光金铅等；随着金价的回调和大盘股业绩的公布，市场热点切换至银行股，周四金融行业大涨4.36%；与此同时，以太阳能为首的新能源集体发飙，周四多数相关个股涨停，周五该类股票更是一早就封死涨停板；周五午后，一个新的热点也已形成，那就是创投板块，大众公用、综艺股份、南纺股份等创投概念股齐齐涨停。
　　分析人士认为，大盘短期上升趋势仍在，不过沪指2400点关口对于市场参与者的心理有一定压力，后市以金融股为首的蓝筹品种表现仍将决定市场走向。现在最不确定和最有杀伤力的利空可能来自IPO重启。27日，沉寂一时的创投概念股再度兴风作浪，是否意味着筹码供应将大开闸门，目前还不得而知。可以肯定的是，如果IPO重启，将给市场带来巨大的短线压力。此外，回顾1664点以来的反弹，曾出现三次10%左右的回调，这三次回调前都伴随着银行股的大幅上涨，而最近几个交易日，银行股突然启动，并推动沪指周四收出中阳线，大盘是否会重演前三次银行股大幅上涨后A股出现调整的行情，还有待观察。
　　本周涨幅居前股票
　　数据来源：Wind资讯
　　证券代码 证券简称 周涨跌幅 市盈率 所属行业
　　600157.SH 鲁润股份 51.03 1242.25 能源
　　600550.SH 天威保变 29.31 38.74 工业
　　600482.SH 风帆股份 29.20 －21.37 可选消费
　　600571.SH 信雅达 28.98 493.33 工业
　　002155.SZ 辰州矿业 28.13 55.49 材料
　　600338.SH ST珠峰 27.56 30.73 材料
　　600259.SH ST有色 27.47 98.66 材料
　　600645.SH ST中源 27.20 70.15 可选消费
　　002083.SZ 孚日股份 27.06 52.64 可选消费
　　600018.SH 上港集团 26.87 23.91 工业
　　600331.SH 宏达股份 26.39 －208.26 材料
　　600159.SH 大龙地产 26.13 92.84 金融
　　000151.SZ 中成股份 25.73 45.52 工业
　　600300.SH 维维股份 25.38 87.21 日常消费
　　600185.SH 海星科技 25.09 －23.58 信息技术
　　600712.SH 南宁百货 24.86 53.24 可选消费
　　600885.SH 力诺太阳 24.85 163.25 工业
　　600555.SH 九龙山 24.62 －48.71 工业
　　600151.SH 航天机电 24.46 205.33 信息技术
　　600250.SH 南纺股份 23.98 78.62 可选消费
　　000790.SZ 华神集团 23.20 435.55 工业
　　000948.SZ 南天信息 22.95 34.92 工业
　　600438.SH 通威股份 22.65 44.63 日常消费
　　002237.SZ 恒邦股份 22.18 43.52 材料
　　000012.SZ 南玻A 22.16 27.48 材料
　　002015.SZ 霞客环保 21.89 84.57 可选消费
　　600682.SH 南京新百 21.63 53.41 可选消费
　　600076.SH ＊ST华光 21.50 －37.04 信息技术
　　600657.SH ST天桥 21.45 －23.34 信息技术
　　601111.SH 中国国航 21.30 －286.05 工业
　　600455.SH 交大博通 21.01 －20.56 工业
　　600644.SH 乐山电力 20.89 37.36 公用事业
　　002096.SZ 南岭民爆 20.78 32.18 材料
　　000928.SZ ST吉炭 20.53 60.11 材料
　　600722.SH ST金化 20.35 －1.15 材料
　　002012.SZ 凯恩股份 20.15 162.33 材料

