世界体育品牌排行：曼联略逊世界杯 超欧冠奥运会
　　美国《SportsPro》杂志7月/8月刊最新公布了一项关于全球体育产业价值的排名，这也是全球第一次体育品牌的价值排名。在这项新的研究中，足球并没有显示出世界第一运动的强势，排名最高的俱乐部曼联在全球200个体育品牌中排名第8，在足球品牌之中仅次于世界杯。
　　美国四大传统赛事包揽了前四，美国人对于职业体育的商业包装确实值得世界借鉴，除却四大体育品牌以外，NFL的达拉斯牛仔队和MLB的纽约扬基队也价值不菲。而排名最高的运动团队则来自F1的法拉利车队，他们力压曼联排名第7。
　　世界杯以17亿美元的价值排名第5，而曼联虽然在欧冠决赛中不敌巴萨，但仍然是足球领域价值第二的品牌，英国球会甚至超过了欧冠的品牌价值。夏季奥运会输给欧冠大抵是因为欧冠年年都能吸引大量眼球，而不像奥运会那样需要四年等一回。
　　曼联的强势不言而喻，但他们却令人咂舌的输给地输给了创立仅2年的印度板球联赛(IPL)。今年夏天，皇马的疯狂球星收购计划令世界瞠目，相信下次的皇马的价值将得到提高。阿森纳是在排行榜上排名第二的英超俱乐部，以9.1亿美元排第21。切尔西以6.34亿美元排第55。对于英超为何没有列入排名，杂志如此解释道：“英超是由俱乐部拥有的，是一个收入分配体系，而不是独立的实体。”
　　“老虎”伍兹则是第一个人品牌，12.5亿的价值足以说明一切。高尔夫球手之所以能垄断体育个人品牌，与行业巨额奖金关系重大。那么“万人迷”贝克汉姆名列多少呢，英国夫妇二人的总价值为3.75亿美元，排名第88位。
　　附世界体育品牌排行榜(注：数据来自美国《SportsPro》杂志，货币单位为美元)
　　排名/品牌 项目 价值
　　1、NFL 橄榄球 45亿
　　2、MLB 棒球 39亿
　　3、NBA 篮球 33.5亿
　　4、Nascar 纳斯卡房车赛 19亿
　　5、世界杯 足球 17亿
　　6、印度板球联赛 板球 16亿
　　7、法拉利车队 F1 15.5亿
　　8、曼联 足球 14.95亿
　　9、F1 赛车 14.5亿
　　10、达拉斯牛仔队 橄榄球 12.78亿
　　11、伍兹 高尔夫 12.5亿
　　12、纽约扬基队 棒球 11.9亿
　　13、欧洲冠军联赛 足球 11亿
　　14、皇家马德里 足球 10.73亿
　　15、夏季奥运会 综合 10.4亿

